epoch,train_accs,val_accs,epoch_times,predictions,converged,params,function,penguin_times,genome,architecture,flops,arch
9,95.5706367701707,94.0350214159738,61.18257546424866,inf,False,"[inf, inf, inf]",inf,0.1014249324798584,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
10,95.7753353908169,83.29554043839758,61.22377252578735,89.80763855972988,False,[89.80769542  1.55088029  2.72452897],"[86.50220398 87.67633076 88.43340195 88.92155773 89.23631819 89.43927418
 89.57013921 89.65452034 89.70892888 89.74401124 89.76663217]",0.0070047378540039,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
11,95.93122126346287,95.80498866213152,61.28702211380005,95.14311203253968,False,[98.65412618  1.0494022  51.0449499 ],"[86.93266245 87.48446814 88.01029674 88.51137117 88.98885675 89.44386397
 89.87745104 90.29062634 90.68435079 91.05954006 91.41706673 91.75776228]",0.0197696685791015,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
12,96.17371039868992,95.8490803728899,61.31837797164917,inf,False,"[inf, inf, inf]",inf,0.0866169929504394,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
13,96.32014864269068,89.64474678760394,61.26438617706299,94.77369439045631,False,[96.74210041  1.06688934 35.45950332],"[86.80867513 87.43145782 88.01519474 88.56233388 89.07516977 89.55585308
 90.00639963 90.42869886 90.82452176 91.19552828 91.5432743  91.86921816
 92.17472674 92.46108127]",0.0119476318359375,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
14,96.56736159224036,95.30108339632147,61.27596521377564,inf,False,"[inf, inf, inf]",inf,0.0904557704925537,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
15,96.73584430307992,94.78458049886622,61.27842497825623,inf,False,"[inf, inf, inf]",inf,0.0937530994415283,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
16,96.93424450462932,95.8238851095994,61.22240209579468,inf,False,"[inf, inf, inf]",inf,0.0842592716217041,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
17,96.994079486049,95.48374905517764,61.236307859420776,inf,False,"[inf, inf, inf]",inf,0.0834746360778808,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
18,97.1783082446306,95.37037037037037,61.24461841583252,inf,False,"[inf, inf, inf]",inf,0.0957846641540527,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
19,97.47275933740632,96.62383471907282,61.198572397232056,inf,False,"[inf, inf, inf]",inf,0.1115021705627441,"[[0, 0, 0, 0, 1, 1, 1], [0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 1, 1, 0, 0]]","[[[0], [0, 0], [0, 1, 1], [1]], [[0], [0, 0], [0, 0, 0], [0]], [[0], [1, 0], [1, 1, 0], [0]]]",648.8936,15
